,Set of params,F1,Count of parameters
14,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'В-Блокаторы', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Нарушение ограничительного ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'Алкоголь В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5008805031446542,53
16,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'Алкоголь В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5008805031446542,51
15,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Нарушение ограничительного ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'Алкоголь В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5008805031446542,52
13,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V2 (НОМА >2,7)', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'В-Блокаторы', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Нарушение ограничительного ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'Алкоголь В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5008805031446542,54
12,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V2 (НОМА >2,7)', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'В-Блокаторы', 'Са-блокаторы', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Нарушение ограничительного ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'Алкоголь В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5008805031446542,55
11,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V2 (НОМА >2,7)', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'В-Блокаторы', 'Са-блокаторы', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ЛПОНП 0 мес', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Нарушение ограничительного ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'Алкоголь В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5008805031446542,56
10,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V2 (НОМА >2,7)', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'В-Блокаторы', 'Са-блокаторы', 'Статины', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ЛПОНП 0 мес', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Нарушение ограничительного ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'Алкоголь В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5008805031446542,57
9,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V2 (НОМА >2,7)', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'В-Блокаторы', 'Са-блокаторы', 'Диуретики', 'Статины', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ЛПОНП 0 мес', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Нарушение ограничительного ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'Алкоголь В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5008805031446542,58
8,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'Степень ожирения', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V2 (НОМА >2,7)', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'В-Блокаторы', 'Са-блокаторы', 'Диуретики', 'Статины', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ЛПОНП 0 мес', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Нарушение ограничительного ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'Алкоголь В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5008805031446542,59
7,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Нарушение толерантности к глюкозе (НТГ)', 'Артериальная гипертензия', 'Степень ожирения', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V2 (НОМА >2,7)', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'В-Блокаторы', 'Са-блокаторы', 'Диуретики', 'Статины', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ЛПОНП 0 мес', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Нарушение ограничительного ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'Алкоголь В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5008805031446542,60
6,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Нарушение толерантности к глюкозе (НТГ)', 'Артериальная гипертензия', 'Степень ожирения', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V2 (НОМА >2,7)', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'Сартаны', 'В-Блокаторы', 'Са-блокаторы', 'Диуретики', 'Статины', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ЛПОНП 0 мес', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Нарушение ограничительного ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'Алкоголь В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5008805031446542,61
