,Параметр,Порог %,Условие,MW p-value,t-test p_value,+ mean,+ std,- mean,- std,count
66,NT-proBMP/Лептин 0 мес,>7%,A,0.33,0.05,2.76,3.19,0.64,0.55,11
67,EQ-5,>7%,A,0.03,0.02,41.33,9.02,66.17,14.72,15
68,САД,>7%,B,0.04,0.03,134.0,5.48,118.75,11.66,15
69,Пульс,>7%,B,0.08,0.04,78.4,2.19,71.5,5.81,15
70,Лептин (нг/мл) 0 мес,>7%,B,0.05,0.07,34.03,26.22,65.73,27.39,15
71,Лептин 1 час (нг/мл) 0 мес,>7%,B,0.05,0.04,24.31,14.96,59.68,29.61,15
72,"sST2 нг/мл (15,15-26,86) 0 мес",>7%,B,0.05,0.04,21.47,4.87,15.32,3.33,11
73,Экстернальное ПП,>7%,B,0.11,0.05,2.74,0.64,3.34,0.32,15
74,САД,>7%,C,0.03,0.02,134.0,5.48,119.0,11.36,15
75,Лептин (нг/мл) 0 мес,>7%,C,0.02,0.04,34.03,26.22,67.08,24.81,15
76,Лептин 1 час (нг/мл) 0 мес,>7%,C,0.02,0.02,24.31,14.96,61.98,27.98,15
77,"sST2 нг/мл (15,15-26,86) 0 мес",>7%,C,0.05,0.04,21.47,4.87,15.32,3.33,11
78,Экстернальное ПП,>7%,C,0.11,0.03,2.74,0.64,3.36,0.35,15
79,Инсулин,>7%,D,0.03,0.04,60.42,14.42,141.29,57.28,15
80,HOMA-B,>7%,D,0.03,0.08,93.95,26.44,255.87,137.78,15
81,NT-proBMP/Лептин 0 мес,>7%,D,0.33,0.05,2.76,3.19,0.64,0.55,11
82,EQ-5,>7%,D,0.03,0.02,41.33,9.02,66.17,14.72,15
83,Вес 0 мес,>8%,A,0.13,0.04,137.0,,96.61,16.52,15
84,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>8%,A,0.27,0.05,103.7,,71.44,14.14,15
85,Мочевая Кислота,>8%,A,0.13,0.01,0.69,,0.36,0.1,15
86,Грелин (нг/мл) 0 мес,>8%,A,0.13,0.03,9.63,,3.69,2.32,15
87,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>8%,A,0.13,0.05,33.64,,11.48,9.4,15
88,Экстернальное ПП,>8%,A,0.2,0.04,2.1,,3.23,0.46,15
89,Сколько может сьесть,>8%,A,0.16,0.04,10.0,,4.43,2.23,15
90,САД,>8%,B,0.04,0.03,134.0,5.48,118.75,11.66,15
91,Пульс,>8%,B,0.08,0.04,78.4,2.19,71.5,5.81,15
92,Лептин (нг/мл) 0 мес,>8%,B,0.05,0.07,34.03,26.22,65.73,27.39,15
93,Лептин 1 час (нг/мл) 0 мес,>8%,B,0.05,0.04,24.31,14.96,59.68,29.61,15
94,"sST2 нг/мл (15,15-26,86) 0 мес",>8%,B,0.05,0.04,21.47,4.87,15.32,3.33,11
95,Экстернальное ПП,>8%,B,0.11,0.05,2.74,0.64,3.34,0.32,15
96,САД,>8%,C,0.03,0.02,134.0,5.48,119.0,11.36,15
97,Лептин (нг/мл) 0 мес,>8%,C,0.02,0.04,34.03,26.22,67.08,24.81,15
98,Лептин 1 час (нг/мл) 0 мес,>8%,C,0.02,0.02,24.31,14.96,61.98,27.98,15
99,"sST2 нг/мл (15,15-26,86) 0 мес",>8%,C,0.05,0.04,21.47,4.87,15.32,3.33,11
100,Экстернальное ПП,>8%,C,0.11,0.03,2.74,0.64,3.36,0.35,15
101,Вес 0 мес,>8%,D,0.13,0.04,137.0,,96.61,16.52,15
102,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>8%,D,0.27,0.05,103.7,,71.44,14.14,15
103,Мочевая Кислота,>8%,D,0.13,0.01,0.69,,0.36,0.1,15
104,Грелин (нг/мл) 0 мес,>8%,D,0.13,0.03,9.63,,3.69,2.32,15
105,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>8%,D,0.13,0.05,33.64,,11.48,9.4,15
106,Экстернальное ПП,>8%,D,0.2,0.04,2.1,,3.23,0.46,15
107,Сколько может сьесть,>8%,D,0.16,0.04,10.0,,4.43,2.23,15
108,Вес 0 мес,>9%,A,0.13,0.04,137.0,,96.61,16.52,15
109,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>9%,A,0.27,0.05,103.7,,71.44,14.14,15
110,Мочевая Кислота,>9%,A,0.13,0.01,0.69,,0.36,0.1,15
111,Грелин (нг/мл) 0 мес,>9%,A,0.13,0.03,9.63,,3.69,2.32,15
112,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>9%,A,0.13,0.05,33.64,,11.48,9.4,15
113,Экстернальное ПП,>9%,A,0.2,0.04,2.1,,3.23,0.46,15
114,Сколько может сьесть,>9%,A,0.16,0.04,10.0,,4.43,2.23,15
115,Экстернальное ПП,>9%,B,0.04,0.0,2.4,0.61,3.32,0.29,15
116,Экстернальное ПП,>9%,C,0.04,0.0,2.4,0.61,3.34,0.33,15
117,Вес 0 мес,>9%,D,0.13,0.04,137.0,,96.61,16.52,15
118,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>9%,D,0.27,0.05,103.7,,71.44,14.14,15
119,Мочевая Кислота,>9%,D,0.13,0.01,0.69,,0.36,0.1,15
120,Грелин (нг/мл) 0 мес,>9%,D,0.13,0.03,9.63,,3.69,2.32,15
121,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>9%,D,0.13,0.05,33.64,,11.48,9.4,15
122,Экстернальное ПП,>9%,D,0.2,0.04,2.1,,3.23,0.46,15
123,Сколько может сьесть,>9%,D,0.16,0.04,10.0,,4.43,2.23,15
124,Вес 0 мес,>10%,A,0.13,0.04,137.0,,96.61,16.52,15
125,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>10%,A,0.27,0.05,103.7,,71.44,14.14,15
126,Мочевая Кислота,>10%,A,0.13,0.01,0.69,,0.36,0.1,15
127,Грелин (нг/мл) 0 мес,>10%,A,0.13,0.03,9.63,,3.69,2.32,15
128,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>10%,A,0.13,0.05,33.64,,11.48,9.4,15
129,Экстернальное ПП,>10%,A,0.2,0.04,2.1,,3.23,0.46,15
130,Сколько может сьесть,>10%,A,0.16,0.04,10.0,,4.43,2.23,15
131,Грелин 1 час (нг/мл) 0 мес,>10%,B,0.51,0.05,6.78,5.97,3.18,1.16,15
132,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 1 час 0 мес",>10%,B,0.31,0.05,23.69,20.85,8.32,6.29,15
133,Проколлаген 3 типа пг/мл (11178-36957) 0 мес,>10%,B,0.06,0.02,6105.0,700.04,20823.0,6610.57,14
134,Голод,>10%,B,0.07,0.05,0.5,0.71,3.82,1.95,15
135,Грелин 1 час (нг/мл) 0 мес,>10%,C,0.38,0.03,6.78,5.97,3.02,1.14,15
136,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 1 час 0 мес",>10%,C,0.23,0.03,23.69,20.85,8.18,5.82,15
137,Проколлаген 3 типа пг/мл (11178-36957) 0 мес,>10%,C,0.04,0.03,6105.0,700.04,19690.0,7044.82,14
138,Вес 0 мес,>10%,D,0.13,0.04,137.0,,96.61,16.52,15
139,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>10%,D,0.27,0.05,103.7,,71.44,14.14,15
140,Мочевая Кислота,>10%,D,0.13,0.01,0.69,,0.36,0.1,15
141,Грелин (нг/мл) 0 мес,>10%,D,0.13,0.03,9.63,,3.69,2.32,15
142,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>10%,D,0.13,0.05,33.64,,11.48,9.4,15
143,Экстернальное ПП,>10%,D,0.2,0.04,2.1,,3.23,0.46,15
144,Сколько может сьесть,>10%,D,0.16,0.04,10.0,,4.43,2.23,15
145,Вес 0 мес,>11%,A,0.13,0.04,137.0,,96.61,16.52,15
146,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>11%,A,0.27,0.05,103.7,,71.44,14.14,15
147,Мочевая Кислота,>11%,A,0.13,0.01,0.69,,0.36,0.1,15
148,Грелин (нг/мл) 0 мес,>11%,A,0.13,0.03,9.63,,3.69,2.32,15
149,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>11%,A,0.13,0.05,33.64,,11.48,9.4,15
150,Экстернальное ПП,>11%,A,0.2,0.04,2.1,,3.23,0.46,15
151,Сколько может сьесть,>11%,A,0.16,0.04,10.0,,4.43,2.23,15
152,Грелин 1 час (нг/мл) 0 мес,>11%,B,0.51,0.05,6.78,5.97,3.18,1.16,15
153,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 1 час 0 мес",>11%,B,0.31,0.05,23.69,20.85,8.32,6.29,15
154,Проколлаген 3 типа пг/мл (11178-36957) 0 мес,>11%,B,0.06,0.02,6105.0,700.04,20823.0,6610.57,14
155,Голод,>11%,B,0.07,0.05,0.5,0.71,3.82,1.95,15
156,Грелин 1 час (нг/мл) 0 мес,>11%,C,0.38,0.03,6.78,5.97,3.02,1.14,15
157,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 1 час 0 мес",>11%,C,0.23,0.03,23.69,20.85,8.18,5.82,15
158,Проколлаген 3 типа пг/мл (11178-36957) 0 мес,>11%,C,0.04,0.03,6105.0,700.04,19690.0,7044.82,14
159,Вес 0 мес,>11%,D,0.13,0.04,137.0,,96.61,16.52,15
160,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>11%,D,0.27,0.05,103.7,,71.44,14.14,15
161,Мочевая Кислота,>11%,D,0.13,0.01,0.69,,0.36,0.1,15
162,Грелин (нг/мл) 0 мес,>11%,D,0.13,0.03,9.63,,3.69,2.32,15
163,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>11%,D,0.13,0.05,33.64,,11.48,9.4,15
164,Экстернальное ПП,>11%,D,0.2,0.04,2.1,,3.23,0.46,15
165,Сколько может сьесть,>11%,D,0.16,0.04,10.0,,4.43,2.23,15
166,Вес 0 мес,>12%,A,0.13,0.04,137.0,,96.61,16.52,15
167,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>12%,A,0.27,0.05,103.7,,71.44,14.14,15
168,Мочевая Кислота,>12%,A,0.13,0.01,0.69,,0.36,0.1,15
169,Грелин (нг/мл) 0 мес,>12%,A,0.13,0.03,9.63,,3.69,2.32,15
170,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>12%,A,0.13,0.05,33.64,,11.48,9.4,15
171,Экстернальное ПП,>12%,A,0.2,0.04,2.1,,3.23,0.46,15
172,Сколько может сьесть,>12%,A,0.16,0.04,10.0,,4.43,2.23,15
173,Вес 0 мес,>12%,B,0.14,0.02,137.0,,94.21,14.76,15
174,ОТ 0 мес,>12%,B,0.15,0.03,131.0,,100.17,11.24,15
175,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>12%,B,0.15,0.02,103.7,,69.21,11.63,15
176,Мочевая Кислота,>12%,B,0.14,0.01,0.69,,0.35,0.1,15
177,Грелин (нг/мл) 0 мес,>12%,B,0.14,0.05,9.63,,4.07,2.3,15
178,Экстернальное ПП,>12%,B,0.23,0.05,2.1,,3.19,0.45,15
179,Сколько может сьесть,>12%,B,0.14,0.01,10.0,,4.0,1.73,15
180,Вес 0 мес,>12%,C,0.13,0.04,137.0,,96.61,16.52,15
181,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>12%,C,0.27,0.05,103.7,,71.44,14.14,15
182,Мочевая Кислота,>12%,C,0.13,0.01,0.69,,0.36,0.1,15
183,Грелин (нг/мл) 0 мес,>12%,C,0.13,0.03,9.63,,3.69,2.32,15
184,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>12%,C,0.13,0.05,33.64,,11.48,9.4,15
185,Экстернальное ПП,>12%,C,0.2,0.04,2.1,,3.23,0.46,15
186,Сколько может сьесть,>12%,C,0.16,0.04,10.0,,4.43,2.23,15
187,Вес 0 мес,>12%,D,0.13,0.04,137.0,,96.61,16.52,15
188,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>12%,D,0.27,0.05,103.7,,71.44,14.14,15
189,Мочевая Кислота,>12%,D,0.13,0.01,0.69,,0.36,0.1,15
190,Грелин (нг/мл) 0 мес,>12%,D,0.13,0.03,9.63,,3.69,2.32,15
191,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>12%,D,0.13,0.05,33.64,,11.48,9.4,15
192,Экстернальное ПП,>12%,D,0.2,0.04,2.1,,3.23,0.46,15
193,Сколько может сьесть,>12%,D,0.16,0.04,10.0,,4.43,2.23,15
194,Вес 0 мес,>13%,B,0.14,0.02,137.0,,94.21,14.76,15
195,ОТ 0 мес,>13%,B,0.15,0.03,131.0,,100.17,11.24,15
196,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>13%,B,0.15,0.02,103.7,,69.21,11.63,15
197,Мочевая Кислота,>13%,B,0.14,0.01,0.69,,0.35,0.1,15
198,Грелин (нг/мл) 0 мес,>13%,B,0.14,0.05,9.63,,4.07,2.3,15
199,Экстернальное ПП,>13%,B,0.23,0.05,2.1,,3.19,0.45,15
200,Сколько может сьесть,>13%,B,0.14,0.01,10.0,,4.0,1.73,15
201,Вес 0 мес,>13%,C,0.13,0.04,137.0,,96.61,16.52,15
202,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>13%,C,0.27,0.05,103.7,,71.44,14.14,15
203,Мочевая Кислота,>13%,C,0.13,0.01,0.69,,0.36,0.1,15
204,Грелин (нг/мл) 0 мес,>13%,C,0.13,0.03,9.63,,3.69,2.32,15
205,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>13%,C,0.13,0.05,33.64,,11.48,9.4,15
206,Экстернальное ПП,>13%,C,0.2,0.04,2.1,,3.23,0.46,15
207,Сколько может сьесть,>13%,C,0.16,0.04,10.0,,4.43,2.23,15
208,Вес 0 мес,>14%,B,0.14,0.02,137.0,,94.21,14.76,15
209,ОТ 0 мес,>14%,B,0.15,0.03,131.0,,100.17,11.24,15
210,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>14%,B,0.15,0.02,103.7,,69.21,11.63,15
211,Мочевая Кислота,>14%,B,0.14,0.01,0.69,,0.35,0.1,15
212,Грелин (нг/мл) 0 мес,>14%,B,0.14,0.05,9.63,,4.07,2.3,15
213,Экстернальное ПП,>14%,B,0.23,0.05,2.1,,3.19,0.45,15
214,Сколько может сьесть,>14%,B,0.14,0.01,10.0,,4.0,1.73,15
215,Вес 0 мес,>14%,C,0.13,0.04,137.0,,96.61,16.52,15
216,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>14%,C,0.27,0.05,103.7,,71.44,14.14,15
217,Мочевая Кислота,>14%,C,0.13,0.01,0.69,,0.36,0.1,15
218,Грелин (нг/мл) 0 мес,>14%,C,0.13,0.03,9.63,,3.69,2.32,15
219,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>14%,C,0.13,0.05,33.64,,11.48,9.4,15
220,Экстернальное ПП,>14%,C,0.2,0.04,2.1,,3.23,0.46,15
221,Сколько может сьесть,>14%,C,0.16,0.04,10.0,,4.43,2.23,15
