,Параметр,Порог %,Условие,MW p-value,t-test p_value,+ mean,+ std,- mean,- std,count
32,miR142 (ПЛАЗМА) 0 мес,>6%,C,0.0,0.03,92346.16,128366.41,34454.19,46652.09,50
33,"E/Em, 0 мес",>6%,C,0.07,0.04,7.38,1.36,8.6,1.91,34
34,"TAVS, см/с, 0 мес",>6%,C,0.01,0.01,12.58,0.88,13.44,0.79,34
35,ГИП 1 час (нг/мл) 0 мес,>6%,D,0.1,0.04,162.37,71.56,230.12,120.06,64
36,miR378 (ПЖТ) 0 мес,>6%,D,0.04,0.05,989.67,601.56,3726.21,2223.6,27
37,miR142 (ПЛАЗМА) 0 мес,>6%,D,0.02,0.01,117226.23,159626.23,41359.02,52444.49,50
38,miR155 0 мес,>6%,D,0.02,0.01,6420.73,5270.24,16444.6,5330.67,13
39,"ЭхоКГ Ао, мм, 0 мес",>6%,D,0.23,0.05,35.12,4.42,32.88,1.87,34
40,"КДР, мм, 0 мес",>6%,D,0.28,0.05,50.12,4.36,47.65,2.53,34
41,"КДО, мл, 0 мес",>6%,D,0.16,0.05,119.5,26.75,103.69,15.91,34
42,"TAVS, см/с, 0 мес",>6%,D,0.01,0.02,12.31,0.59,13.19,0.92,34
43,ГИП 1 час (нг/мл) 0 мес,>7%,A,0.16,0.04,166.45,68.99,231.47,122.31,64
44,miR378 (ПЖТ) 0 мес,>7%,A,0.04,0.05,989.67,601.56,3726.21,2223.6,27
45,miR142 (ПЛАЗМА) 0 мес,>7%,A,0.02,0.01,117226.23,159626.23,41359.02,52444.49,50
46,miR155 0 мес,>7%,A,0.02,0.01,6420.73,5270.24,16444.6,5330.67,13
47,"TAVS, см/с, 0 мес",>7%,A,0.01,0.01,12.35,0.58,13.25,0.92,34
48,САД,>7%,B,0.03,0.05,118.89,12.15,125.61,11.18,79
49,СРБ,>7%,B,0.03,0.11,3.55,3.74,5.37,4.13,79
50,miR142 (ПЛАЗМА) 0 мес,>7%,B,0.02,0.11,103641.19,134323.91,28665.42,32634.81,50
51,MMP-9 нг/мл (450-1351) 0 мес,>7%,B,0.02,0.15,238.92,247.09,93.88,119.63,28
52,Проколлаген-1/Проколлаген-3 0 мес,>7%,B,0.05,0.05,0.03,0.02,0.05,0.04,30
53,"КСО, мл, 0 мес",>7%,B,0.02,0.03,45.92,12.46,36.73,4.22,34
54,"ФВ,% Симпсон, 0 мес",>7%,B,0.01,0.01,60.5,3.42,63.91,2.02,34
55,"TAVS, см/с, 0 мес",>7%,B,0.05,0.04,12.46,0.84,13.18,0.72,34
56,"GLS, %, 0 мес",>7%,B,0.03,0.02,-18.67,1.73,-20.75,1.48,24
57,EQ-5,>7%,B,0.02,0.04,59.07,15.19,68.26,14.72,79
58,Пульс,>7%,C,0.05,0.06,74.13,9.45,78.62,10.07,76
59,СРБ,>7%,C,0.02,0.06,3.58,3.58,5.3,4.08,79
60,miR142 (ПЛАЗМА) 0 мес,>7%,C,0.0,0.01,103641.19,134323.91,32713.36,44616.45,50
61,"ФВ,% Симпсон, 0 мес",>7%,C,0.03,0.05,60.79,3.24,62.9,2.68,34
62,"TAVS, см/с, 0 мес",>7%,C,0.01,0.01,12.46,0.8,13.35,0.85,34
63,"AIx (P2/P1) mmHg, 0 мес",>7%,C,0.03,0.05,106.54,37.36,129.55,26.3,33
64,"AIx (AP/PP) %, 0 мес",>7%,C,0.05,0.1,10.17,15.28,20.05,16.16,32
65,"Aortic AIx (AP/PP) @HR75 in %, 0 мес",>7%,C,0.05,0.12,9.17,16.49,18.4,15.01,32
66,HOMA-B,>7%,D,0.02,0.13,319.51,165.74,243.81,182.03,79
67,ГИП 1 час (нг/мл) 0 мес,>7%,D,0.09,0.04,161.42,73.97,229.03,119.07,64
68,miR378 (ПЖТ) 0 мес,>7%,D,0.04,0.05,989.67,601.56,3726.21,2223.6,27
69,miR142 (ПЛАЗМА) 0 мес,>7%,D,0.02,0.01,117226.23,159626.23,41359.02,52444.49,50
70,miR155 0 мес,>7%,D,0.01,0.01,4257.63,3686.35,16091.14,5167.09,13
71,"ЭхоКГ Ао, мм, 0 мес",>7%,D,0.23,0.05,35.12,4.42,32.88,1.87,34
72,"КДР, мм, 0 мес",>7%,D,0.28,0.05,50.12,4.36,47.65,2.53,34
73,"КДО, мл, 0 мес",>7%,D,0.16,0.05,119.5,26.75,103.69,15.91,34
74,"TAVS, см/с, 0 мес",>7%,D,0.01,0.02,12.31,0.59,13.19,0.92,34
75,ГИП 1 час (нг/мл) 0 мес,>8%,A,0.11,0.03,153.41,51.0,228.42,119.99,64
76,miR142 (ПЛАЗМА) 0 мес,>8%,A,0.05,0.17,102015.04,125971.38,52099.74,88008.51,50
77,Миелопероксидаза нг/мл (˂200) 0 мес,>8%,A,0.05,0.7,83.82,140.03,99.61,108.54,44
78,"КДР, мм, 0 мес",>8%,A,0.02,0.0,51.5,4.37,47.54,2.41,34
79,"КДО, мл, 0 мес",>8%,A,0.12,0.02,124.33,29.76,103.79,15.36,34
80,"КСО, мл, 0 мес",>8%,A,0.23,0.04,49.17,16.23,39.57,8.02,34
81,"УО, мл, 0 мес",>8%,A,0.13,0.03,75.2,16.15,64.15,8.53,31
82,"ОТС (RWT), 0 мес",>8%,A,0.03,0.03,0.37,0.03,0.42,0.04,19
83,"TAVS, см/с, 0 мес",>8%,A,0.04,0.06,12.33,0.52,13.12,0.94,34
84,САД,>8%,B,0.05,0.08,118.38,12.52,124.59,11.26,79
85,КА,>8%,B,0.05,0.18,3.49,1.27,2.97,1.33,79
86,miR378 (ПЖТ) 0 мес,>8%,B,0.04,0.04,2125.8,1926.46,4047.27,1336.4,27
87,miR155 0 мес,>8%,B,0.05,0.06,4257.63,3686.35,14423.34,5691.16,13
88,"КСО, мл, 0 мес",>8%,B,0.11,0.05,46.4,13.67,37.77,4.69,34
89,"ФВ,% Симпсон, 0 мес",>8%,B,0.05,0.09,60.8,3.58,63.15,2.68,34
90,"TAVS, см/с, 0 мес",>8%,B,0.01,0.0,12.25,0.72,13.23,0.7,34
91,Алкоголь В1.,>8%,B,0.05,0.05,4.05,3.58,2.16,2.03,64
92,ГИП 1 час (нг/мл) 0 мес,>8%,C,0.19,0.05,173.9,76.03,232.37,123.88,64
93,miR142 (ПЛАЗМА) 0 мес,>8%,C,0.02,0.04,101704.33,146840.55,41969.27,54408.09,50
94,miR155 0 мес,>8%,C,0.02,0.01,6420.73,5270.24,16444.6,5330.67,13
95,"TAVS, см/с, 0 мес",>8%,C,0.0,0.0,12.23,0.68,13.35,0.81,34
96,ГИП 1 час (нг/мл) 0 мес,>8%,D,0.05,0.03,144.48,49.17,227.44,117.91,64
97,miR142 (ПЛАЗМА) 0 мес,>8%,D,0.05,0.17,102015.04,125971.38,52099.74,88008.51,50
98,Миелопероксидаза нг/мл (˂200) 0 мес,>8%,D,0.03,0.8,87.35,147.09,98.1,107.28,44
99,"КДР, мм, 0 мес",>8%,D,0.04,0.0,51.8,4.82,47.62,2.41,34
100,"КДО, мл, 0 мес",>8%,D,0.09,0.01,128.0,31.73,103.86,15.1,34
101,"КСО, мл, 0 мес",>8%,D,0.2,0.02,51.0,17.44,39.59,7.88,34
102,"УО, мл, 0 мес",>8%,D,0.17,0.02,77.5,17.67,64.22,8.38,31
103,"ОТС (RWT), 0 мес",>8%,D,0.03,0.03,0.37,0.03,0.42,0.04,19
104,ГИП 1 час (нг/мл) 0 мес,>9%,A,0.15,0.05,152.3,46.51,225.82,119.19,64
105,Грелин 1 час (нг/мл) 0 мес.1,>9%,A,0.05,0.09,3.73,2.36,9.19,8.94,35
106,"ЭхоКГ Ао, мм, 0 мес",>9%,A,0.24,0.02,36.5,5.74,33.0,1.97,34
107,"КДР, мм, 0 мес",>9%,A,0.15,0.02,51.75,5.56,47.77,2.5,34
108,"КДО, мл, 0 мес",>9%,A,0.08,0.0,133.25,34.03,103.97,14.85,34
109,"КСО, мл, 0 мес",>9%,A,0.25,0.01,53.25,19.28,39.67,7.76,34
110,"УО, мл, 0 мес",>9%,A,0.15,0.01,81.67,19.09,64.25,8.23,31
111,Инсулин,>9%,B,0.08,0.02,202.22,132.73,136.43,67.83,79
112,HOMA-IR,>9%,B,0.18,0.02,7.35,5.76,4.65,2.32,79
113,HOMA-B,>9%,B,0.01,0.25,326.24,156.3,253.55,230.26,79
114,ЛПВП,>9%,B,0.04,0.04,1.14,0.34,1.36,0.34,79
115,КА,>9%,B,0.01,0.07,3.64,1.31,2.93,1.27,79
116,СКФ мл/мин/1.73м2 (> 60) 0 мес,>9%,B,0.09,0.04,106.41,25.17,92.09,15.61,64
117,miR378 (ПЖТ) 0 мес,>9%,B,0.03,0.05,1666.67,595.34,3857.62,1635.48,27
118,miR155 0 мес,>9%,B,0.05,0.06,4257.63,3686.35,14423.34,5691.16,13
119,"ЭхоКГ Ао, мм, 0 мес",>9%,B,0.03,0.02,35.5,4.14,32.27,1.84,34
120,"КДО, мл, 0 мес",>9%,B,0.1,0.03,120.25,28.4,102.47,8.7,34
121,"КСО, мл, 0 мес",>9%,B,0.18,0.03,47.75,15.15,38.2,4.52,34
122,"TAVS, см/с, 0 мес",>9%,B,0.02,0.01,12.19,0.75,13.13,0.72,34
123,Алкоголь В1.,>9%,B,0.05,0.06,4.19,3.73,2.32,2.16,64
124,Инсулин,>9%,C,0.14,0.03,193.68,127.74,144.1,72.59,79
125,HOMA-B,>9%,C,0.02,0.2,304.01,156.38,244.21,186.91,79
126,ЛПВП,>9%,C,0.05,0.05,1.14,0.32,1.31,0.34,79
127,КА,>9%,C,0.04,0.16,3.57,1.23,3.09,1.34,79
128,miR378 (ПЖТ) 0 мес,>9%,C,0.04,0.05,1327.25,834.93,3786.48,2252.16,27
129,miR142 (ПЛАЗМА) 0 мес,>9%,C,0.03,0.24,87078.5,131896.55,50975.71,78811.97,50
130,miR155 0 мес,>9%,C,0.02,0.01,6420.73,5270.24,16444.6,5330.67,13
131,"ЭхоКГ Ао, мм, 0 мес",>9%,C,0.11,0.03,35.11,4.04,32.8,1.92,34
132,"TAVS, см/с, 0 мес",>9%,C,0.01,0.01,12.28,0.75,13.24,0.86,34
133,"ЭхоКГ Ао, мм, 0 мес",>9%,D,0.1,0.0,38.0,6.0,32.97,1.94,34
134,"КДР, мм, 0 мес",>9%,D,0.15,0.01,52.67,6.43,47.81,2.47,34
135,"КДО, мл, 0 мес",>9%,D,0.02,0.0,144.33,31.63,103.84,14.63,34
136,"КСО, мл, 0 мес",>9%,D,0.19,0.0,57.67,20.98,39.68,7.63,34
137,"УО, мл, 0 мес",>9%,D,0.02,0.0,92.5,4.95,64.1,8.13,31
138,Дельта Индекс объема ЛП,>9%,D,0.2,0.0,-9.0,,2.41,2.41,10
139,ЛПНП,>10%,A,0.06,0.05,3.54,0.96,2.98,0.77,79
140,КА,>10%,A,0.02,0.05,4.03,1.45,3.11,1.28,79
141,HIF1a 0 мес,>10%,A,0.01,0.09,1.56,0.97,22.41,15.79,21
142,CCL2 0 мес,>10%,A,0.03,0.26,3896.96,2607.51,28073.21,28387.44,25
143,"параксоназа мкг/мл (0,56-8,2) 0 мес",>10%,A,0.03,0.04,2.81,0.49,2.01,0.8,35
144,"ЭхоКГ Ао, мм, 0 мес",>10%,A,0.1,0.0,38.0,6.0,32.97,1.94,34
145,"ЛП, мм, 0 мес",>10%,A,0.07,0.03,46.0,6.0,40.26,3.83,34
146,"ММ ЛЖ (LVM), г, 0 мес",>10%,A,0.12,0.01,245.33,79.6,185.01,32.85,34
147,"КДР, мм, 0 мес",>10%,A,0.07,0.0,53.0,6.08,47.77,2.46,34
148,"КДО, мл, 0 мес",>10%,A,0.11,0.0,141.33,36.68,104.13,14.64,34
149,"КСО, мл, 0 мес",>10%,A,0.06,0.0,59.67,17.62,39.48,7.7,34
150,"УО, мл, 0 мес",>10%,A,0.15,0.01,81.67,19.09,64.25,8.23,31
151,"ФВ,% Симпсон, 0 мес",>10%,A,0.03,0.03,58.33,1.53,62.39,2.94,34
152,"ММЛЖ/ (рост, м) 0 мес",>10%,A,0.18,0.02,143.65,44.84,111.93,19.23,34
153,"ММЛЖ/ (рост, м)2 0 мес",>10%,A,0.25,0.05,84.15,25.3,67.85,12.06,34
154,Пульс,>10%,B,0.05,0.06,73.07,9.17,78.86,9.81,76
155,HOMA-B,>10%,B,0.02,0.25,332.29,160.43,257.19,223.82,79
156,ЛПВП,>10%,B,0.06,0.04,1.12,0.36,1.34,0.34,79
157,КА,>10%,B,0.02,0.04,3.77,1.4,2.94,1.22,79
158,СКФ мл/мин/1.73м2 (> 60) 0 мес,>10%,B,0.02,0.01,110.84,24.62,91.5,15.87,64
159,miR142 (ПЛАЗМА) 0 мес,>10%,B,0.04,0.27,113969.76,149276.46,62690.27,94454.77,50
160,"ЭхоКГ Ао, мм, 0 мес",>10%,B,0.06,0.03,35.83,4.58,32.53,2.06,34
161,"КДО, мл, 0 мес",>10%,B,0.01,0.0,129.0,27.13,101.47,9.04,34
162,"КСО, мл, 0 мес",>10%,B,0.02,0.0,52.17,15.01,37.76,4.49,34
163,"УО, мл, 0 мес",>10%,B,0.06,0.0,80.0,15.64,63.71,5.96,31
164,"TAVS, см/с, 0 мес",>10%,B,0.02,0.01,12.08,0.8,13.06,0.73,34
165,"GLS, %, 0 мес",>10%,B,0.03,0.02,-17.33,1.53,-20.14,1.6,24
166,Дельта Индекс объема ЛП,>10%,B,0.2,0.0,-9.0,,2.41,2.41,10
167,"AIx (P2/P1) mmHg, 0 мес",>10%,B,0.06,0.05,93.4,56.98,125.94,19.4,33
168,Никотин В1.,>10%,B,0.06,0.03,1.77,2.35,0.48,1.24,64
169,Алкоголь В1.,>10%,B,0.07,0.03,4.54,4.05,2.36,2.06,64
170,HOMA-B,>10%,C,0.01,0.15,316.18,158.36,244.73,184.09,79
171,КА,>10%,C,0.05,0.1,3.69,1.34,3.09,1.29,79
172,HIF1a 0 мес,>10%,C,0.05,0.11,6.22,8.09,22.79,16.13,21
173,miR142 (ПЛАЗМА) 0 мес,>10%,C,0.01,0.09,104672.88,144934.01,48790.33,76132.55,50
174,miR155 0 мес,>10%,C,0.05,0.02,3193.48,4514.84,15208.85,5661.81,13
175,Проколлаген 3 типа пг/мл (11178-36957) 0 мес,>10%,C,0.21,0.05,12812.08,11963.41,7625.31,5301.21,44
176,"ЭхоКГ Ао, мм, 0 мес",>10%,C,0.19,0.04,35.29,4.42,32.93,2.02,34
177,"КДР, мм, 0 мес",>10%,C,0.17,0.04,50.43,4.31,47.67,2.6,34
178,"КДО, мл, 0 мес",>10%,C,0.04,0.01,124.86,27.08,102.89,14.95,34
179,"КСО, мл, 0 мес",>10%,C,0.04,0.01,50.43,14.46,38.89,7.64,34
180,"УО, мл, 0 мес",>10%,C,0.19,0.02,76.0,16.23,64.0,8.3,31
181,"ФВ,% Симпсон, 0 мес",>10%,C,0.04,0.07,60.14,4.14,62.52,2.6,34
182,"TAVS, см/с, 0 мес",>10%,C,0.02,0.01,12.21,0.81,13.19,0.86,34
183,"GLS, %, 0 мес",>10%,C,0.04,0.03,-18.0,1.83,-20.45,1.94,24
184,"AIx (P2/P1) mmHg, 0 мес",>10%,C,0.06,0.05,96.33,51.47,125.85,25.26,33
185,ДАД,>10%,D,0.03,0.05,65.43,7.72,72.88,9.32,79
186,ЛПНП,>10%,D,0.01,0.01,3.8,0.79,2.97,0.77,79
187,КА,>10%,D,0.02,0.02,4.3,1.53,3.11,1.26,79
188,"параксоназа мкг/мл (0,56-8,2) 0 мес",>10%,D,0.03,0.04,2.9,0.51,2.02,0.79,35
189,"ЭхоКГ Ао, мм, 0 мес",>10%,D,0.02,0.0,41.0,4.24,32.94,1.92,34
190,"ЛП, мм, 0 мес",>10%,D,0.03,0.0,49.0,4.24,40.25,3.77,34
191,"ММ ЛЖ (LVM), г, 0 мес",>10%,D,0.05,0.0,276.5,82.73,184.94,32.33,34
192,"ИММ ЛЖ, г/кв.м, 0 мес",>10%,D,0.26,0.04,111.5,36.06,86.72,14.29,34
193,"КДР, мм, 0 мес",>10%,D,0.05,0.0,55.0,7.07,47.81,2.43,34
194,"КДО, мл, 0 мес",>10%,D,0.02,0.0,162.0,11.31,104.0,14.43,34
195,"КСО, мл, 0 мес",>10%,D,0.02,0.0,69.5,6.36,39.5,7.57,34
196,"УО, мл, 0 мес",>10%,D,0.02,0.0,92.5,4.95,64.1,8.13,31
197,"ФВ,% Симпсон, 0 мес",>10%,D,0.05,0.03,57.5,0.71,62.31,2.92,34
198,"ММЛЖ/ (рост, м)^2,7 0 мес",>10%,D,0.2,0.03,63.16,20.23,47.83,8.85,34
199,"ММЛЖ/ (рост, м) 0 мес",>10%,D,0.1,0.0,160.03,49.13,111.9,18.93,34
200,"ММЛЖ/ (рост, м)2 0 мес",>10%,D,0.12,0.01,92.62,29.16,67.83,11.87,34
201,Дельта Индекс объема ЛП,>10%,D,0.2,0.0,-9.0,,2.41,2.41,10
202,ДАД,>11%,A,0.02,0.02,62.4,5.37,72.88,9.26,79
203,ЛПНП,>11%,A,0.06,0.03,3.81,1.22,2.99,0.75,79
204,КА,>11%,A,0.02,0.02,4.51,1.72,3.13,1.25,79
205,Грелин 1 час (нг/мл) 0 мес.1,>11%,A,0.05,0.29,1.64,1.39,8.15,8.24,35
206,sST2/Лептин 0 мес,>11%,A,0.7,0.0,1.5,2.0,0.29,0.41,34
207,"ЭхоКГ Ао, мм, 0 мес",>11%,A,0.1,0.0,44.0,,33.09,2.08,34
208,"ЛП, мм, 0 мес",>11%,A,0.1,0.01,52.0,,40.42,3.84,34
209,"ММ ЛЖ (LVM), г, 0 мес",>11%,A,0.1,0.0,335.0,,185.95,32.34,34
210,"ИММ ЛЖ, г/кв.м, 0 мес",>11%,A,0.1,0.0,137.0,,86.7,14.07,34
211,"КДР, мм, 0 мес",>11%,A,0.1,0.0,60.0,,47.88,2.42,34
212,"КДО, мл, 0 мес",>11%,A,0.1,0.0,170.0,,105.52,16.59,34
213,"КСО, мл, 0 мес",>11%,A,0.1,0.0,74.0,,40.27,8.65,34
214,"УО, мл, 0 мес",>11%,A,0.1,0.0,96.0,,64.93,9.15,31
215,"ММЛЖ/ (рост, м)^2,7 0 мес",>11%,A,0.1,0.0,77.47,,47.86,8.72,34
216,"ММЛЖ/ (рост, м) 0 мес",>11%,A,0.1,0.0,194.77,,112.31,18.78,34
217,"ММЛЖ/ (рост, м)2 0 мес",>11%,A,0.1,0.0,113.24,,67.96,11.71,34
218,HOMA-B,>11%,B,0.01,0.2,344.19,169.93,257.07,217.68,79
219,КА,>11%,B,0.04,0.09,3.72,1.39,3.0,1.26,79
220,СКФ мл/мин/1.73м2 (> 60) 0 мес,>11%,B,0.07,0.02,110.63,26.92,93.02,16.21,64
221,"ЭхоКГ Ао, мм, 0 мес",>11%,B,0.15,0.04,36.0,5.1,32.67,2.08,34
222,"КДР, мм, 0 мес",>11%,B,0.1,0.04,51.2,5.02,47.78,2.22,34
223,"КДО, мл, 0 мес",>11%,B,0.0,0.0,133.6,27.59,101.72,8.85,34
224,"КСО, мл, 0 мес",>11%,B,0.05,0.0,53.6,16.32,38.17,4.67,34
225,"УО, мл, 0 мес",>11%,B,0.01,0.0,86.33,11.24,63.56,5.82,31
226,"ОТС (RWT), 0 мес",>11%,B,0.04,0.03,0.37,0.03,0.42,0.03,19
227,"TAVS, см/с, 0 мес",>11%,B,0.01,0.0,11.9,0.74,13.06,0.7,34
228,ММЛЖ/КДО 0 мес,>11%,B,0.04,0.02,1.54,0.3,1.86,0.22,34
229,Дельта Индекс объема ЛП,>11%,B,0.2,0.0,-9.0,,2.41,2.41,10
230,"Aortic Augmentation (AP) – mmHg, 0 мес",>11%,B,0.03,0.06,0.0,1.73,6.11,4.92,32
231,"AIx (P2/P1) mmHg, 0 мес",>11%,B,0.0,0.0,75.0,45.52,128.22,21.07,33
232,"AIx (AP/PP) %, 0 мес",>11%,B,0.01,0.01,-2.33,5.03,20.06,12.57,32
233,"Aortic AIx (AP/PP) @HR75 in %, 0 мес",>11%,B,0.01,0.01,-2.0,2.0,18.06,11.89,32
234,Никотин В1.,>11%,B,0.02,0.01,2.09,2.43,0.44,1.2,64
235,Алкоголь В1.,>11%,B,0.04,0.01,5.0,4.24,2.33,2.0,64
236,Инсулин,>11%,C,0.1,0.03,204.79,132.17,146.14,77.41,79
237,HOMA-B,>11%,C,0.0,0.09,332.49,160.33,243.14,181.73,79
238,ЛПВП,>11%,C,0.04,0.05,1.11,0.37,1.3,0.33,79
239,КА,>11%,C,0.02,0.05,3.83,1.37,3.07,1.28,79
240,miR142 (ПЛАЗМА) 0 мес,>11%,C,0.01,0.04,120043.04,157015.73,48142.37,74493.29,50
241,miR155 0 мес,>11%,C,0.05,0.02,3193.48,4514.84,15208.85,5661.81,13
242,"ЭхоКГ Ао, мм, 0 мес",>11%,C,0.21,0.02,36.0,5.1,32.97,1.99,34
243,"КДР, мм, 0 мес",>11%,C,0.13,0.02,51.2,5.02,47.72,2.52,34
244,"КДО, мл, 0 мес",>11%,C,0.01,0.0,133.6,27.59,102.9,14.45,34
245,"КСО, мл, 0 мес",>11%,C,0.06,0.0,53.6,16.32,39.14,7.46,34
246,"УО, мл, 0 мес",>11%,C,0.01,0.0,86.33,11.24,63.75,8.05,31
247,"ОТС (RWT), 0 мес",>11%,C,0.03,0.03,0.37,0.03,0.42,0.04,19
248,"TAVS, см/с, 0 мес",>11%,C,0.01,0.0,11.9,0.74,13.17,0.83,34
249,Дельта Индекс объема ЛП,>11%,C,0.2,0.0,-9.0,,2.41,2.41,10
250,"Aortic Augmentation (AP) – mmHg, 0 мес",>11%,C,0.03,0.09,0.0,1.73,5.41,5.15,32
251,"AIx (P2/P1) mmHg, 0 мес",>11%,C,0.01,0.0,75.0,45.52,126.76,25.68,33
252,"AIx (AP/PP) %, 0 мес",>11%,C,0.02,0.04,-2.33,5.03,18.28,15.89,32
253,"Aortic AIx (AP/PP) @HR75 in %, 0 мес",>11%,C,0.02,0.06,-2.0,2.0,16.69,15.74,32
254,ДАД,>11%,D,0.02,0.02,60.0,0.0,72.7,9.25,79
255,Пульс,>11%,D,0.04,0.04,65.33,6.11,77.26,9.88,76
256,Глюкоза,>11%,D,0.01,0.0,4.39,0.29,5.42,0.58,79
257,OXC,>11%,D,0.04,0.03,6.27,0.83,4.98,1.01,79
258,ЛПНП,>11%,D,0.01,0.0,4.38,0.62,2.99,0.77,79
259,PRDM16 0 мес,>11%,D,0.01,0.62,8.25,,3.23,9.6,27
260,Проколлаген 3 типа пг/мл (11178-36957) 0 мес,>11%,D,0.05,0.2,1885.0,0.0,9380.6,7869.73,44
261,Е-селектин нг/мл 0 мес,>11%,D,0.13,0.01,72.6,,35.74,13.57,31
262,sST2/Лептин 0 мес,>11%,D,0.06,0.0,2.92,,0.29,0.4,34
263,"ЭхоКГ Ао, мм, 0 мес",>11%,D,0.1,0.0,44.0,,33.09,2.08,34
264,"ЛП, мм, 0 мес",>11%,D,0.1,0.01,52.0,,40.42,3.84,34
265,"ММ ЛЖ (LVM), г, 0 мес",>11%,D,0.1,0.0,335.0,,185.95,32.34,34
266,"ИММ ЛЖ, г/кв.м, 0 мес",>11%,D,0.1,0.0,137.0,,86.7,14.07,34
267,"КДР, мм, 0 мес",>11%,D,0.1,0.0,60.0,,47.88,2.42,34
268,"КДО, мл, 0 мес",>11%,D,0.1,0.0,170.0,,105.52,16.59,34
269,"КСО, мл, 0 мес",>11%,D,0.1,0.0,74.0,,40.27,8.65,34
270,"УО, мл, 0 мес",>11%,D,0.1,0.0,96.0,,64.93,9.15,31
271,"ММЛЖ/ (рост, м)^2,7 0 мес",>11%,D,0.1,0.0,77.47,,47.86,8.72,34
272,"ММЛЖ/ (рост, м) 0 мес",>11%,D,0.1,0.0,194.77,,112.31,18.78,34
273,"ММЛЖ/ (рост, м)2 0 мес",>11%,D,0.1,0.0,113.24,,67.96,11.71,34
274,Эмоциональное ПП,>11%,D,0.04,0.04,1.73,0.64,3.04,1.08,79
275,ДАД,>12%,A,0.01,0.01,60.0,0.0,72.87,9.2,79
276,Пульс,>12%,A,0.04,0.05,67.0,6.0,77.33,9.93,76
277,Глюкоза,>12%,A,0.02,0.01,4.62,0.51,5.42,0.58,79
278,OXC,>12%,A,0.01,0.02,6.25,0.68,4.97,1.01,79
279,ЛПНП,>12%,A,0.0,0.0,4.32,0.52,2.97,0.76,79
